id,case_number,team_id,team_name,owner_id,first_name,last_name,owner_name,priority,status,country,subtype_name,time_created,time_first_touched (mins),time_last_closed,time_to_close (day),source,phase,result,investigation_id,total_assets,victim_count,bad_actor_count,disabled_count,monitoring_count,deleted_count
1611,2025,345,FBI,16484,Davon,Weber,Davon Weber,Low,Open,Russia,espionage,5/3/2019,945.00,5/15/2019,12.00,Industry Partners,1,triage,C1425,8226,3709,4517,3918,510,6
2464,3966,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Urgent,Closed,United States,hackers,2/15/2019,635.00,2/26/2019,11.00,Industry Partners,3,passed to another team,C2163,390,43,347,219,50,50
2861,2356,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Closed,Russia,hackers,2/21/2020,"1,202.00",3/16/2020,24.00,Government Partners,3,passed to another team,C2068,7544,1950,5594,5290,257,6
2309,4397,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Closed,United States,child safety,5/28/2019,534.00,6/5/2019,8.00,News,4,enforced,C2702,6189,1085,5104,5006,90,3
1673,2802,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Open,Russia,dangerous actors,4/8/2019,49.00,4/23/2019,15.00,News,2,investigating,C2473,2296,1100,1196,1190,6,0
916,2791,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Urgent,Open,Russia,human exploitation,1/16/2020,490.00,2/13/2020,28.00,News,4,enforced,C2448,8998,467,8531,1204,3535,1619
9,1075,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Open,Russia,espionage,12/28/2019,"1,292.00",12/31/2019,3.00,Leads,1,triage,C2015,8201,786,7415,228,3742,2309
763,2081,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Urgent,Closed,China,malware,1/10/2019,"1,256.00",1/17/2019,7.00,Government Partners,4,enforced,C2677,5794,4181,1613,588,383,107
2717,1691,678,NAVY,24458,Lamont,Shields,Lamont Shields,High,Closed,Iraq,human exploitation,1/10/2020,982.00,1/14/2020,4.00,Industry Partners,1,triage,C2286,8382,1807,6575,6302,129,35
663,2717,345,FBI,16484,Davon,Weber,Davon Weber,Urgent,Closed,China,human exploitation,11/4/2019,"1,397.00",11/10/2019,6.00,Industry Partners,3,passed to another team,C2087,5286,3124,2162,312,1605,231
949,3757,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,Low,Closed,United States,dangerous actors,3/23/2020,"1,111.00",4/17/2020,25.00,Discovery,4,enforced,C2276,2558,2266,292,159,90,17
2208,2707,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,High,Open,United States,human exploitation,9/18/2019,"1,291.00",9/20/2019,2.00,News,4,enforced,C2151,8279,6970,1309,940,328,22
1273,2492,678,NAVY,24458,Lamont,Shields,Lamont Shields,Urgent,Open,United States,malware,4/28/2020,58.00,5/15/2020,17.00,News,3,passed to another team,C1744,2141,622,1519,966,84,253
1776,3979,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Closed,China,espionage,1/4/2019,"1,295.00",1/13/2019,9.00,News,3,passed to another team,C1946,8949,2565,6384,3121,2736,400
1209,4952,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Closed,China,dangerous actors,7/15/2019,414.00,8/10/2019,26.00,Discovery,4,enforced,C2882,9177,6930,2247,656,642,9
164,2648,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,Mid,Open,United States,espionage,2/14/2020,438.00,2/22/2020,8.00,Industry Partners,1,triage,C2979,1394,8,1386,584,163,267
1565,3694,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,High,Open,Iraq,espionage,6/16/2019,5.00,6/28/2019,12.00,Government Partners,3,passed to another team,C1162,1710,1277,433,263,0,73
2484,3732,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Open,China,hackers,1/5/2019,"1,032.00",2/2/2019,28.00,Government Partners,1,triage,C1656,4346,2054,2292,172,1203,333
2637,1947,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Low,Closed,Russia,malware,10/25/2019,746.00,10/27/2019,2.00,News,3,passed to another team,C2738,3745,2401,1344,631,543,143
1942,4727,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Mid,Closed,Russia,dangerous actors,5/9/2019,582.00,5/10/2019,1.00,Leads,2,investigating,C1680,7336,7301,35,1,23,5
2822,4528,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Closed,China,human exploitation,2/5/2020,325.00,2/6/2020,1.00,Industry Partners,2,investigating,C2679,1278,616,662,235,390,31
997,1491,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Closed,United States,child safety,5/13/2019,926.00,5/25/2019,12.00,Government Partners,4,enforced,C2502,6773,1175,5598,2564,2691,338
2079,2028,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Closed,China,human exploitation,3/25/2019,250.00,3/31/2019,6.00,Government Partners,2,investigating,C2516,2661,547,2114,1901,83,112
672,1618,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Urgent,Closed,United States,hackers,1/9/2019,658.00,1/11/2019,2.00,Discovery,2,investigating,C1979,4206,2836,1370,750,515,41
2854,3055,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Mid,Open,United States,child safety,2/18/2020,581.00,3/14/2020,25.00,Discovery,3,passed to another team,C1988,3716,1552,2164,2066,38,57
734,4349,678,NAVY,22587,Athena,Clarke,Athena Clarke,High,Open,Iraq,dangerous actors,8/29/2019,285.00,9/15/2019,17.00,News,2,investigating,C2007,2296,62,2234,513,202,300
