id,case_number,team_id,team_name,owner_id,first_name,last_name,owner_name,priority,status,country,subtype_name,time_created,time_first_touched (mins),time_last_closed,time_to_close (day),source,phase,result,investigation_id,total_assets,victim_count,bad_actor_count,disabled_count,monitoring_count,deleted_count
2229,1572,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Closed,Russia,dangerous actors,1/1/2020,362.00,1/21/2020,20.00,Government Partners,2,investigating,C1504,541,211,330,12,194,320
1714,4360,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Closed,United States,child safety,1/1/2020,13.00,1/13/2020,12.00,Leads,2,investigating,C1709,1567,1515,52,42,8,0
2146,3405,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Open,Russia,espionage,1/2/2020,31.00,1/8/2020,6.00,Discovery,4,enforced,C2704,3388,916,2472,2057,25,116
1508,1621,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Open,Iraq,dangerous actors,1/2/2020,669.00,1/31/2020,29.00,Government Partners,4,enforced,C1254,97,19,78,14,59,0
927,4946,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Closed,Russia,espionage,1/2/2020,467.00,1/20/2020,18.00,News,3,passed to another team,C1725,237,74,163,139,19,0
144,2712,678,NAVY,24458,Lamont,Shields,Lamont Shields,High,Closed,Russia,dangerous actors,1/4/2020,421.00,1/18/2020,14.00,Discovery,1,triage,C2187,5301,408,4893,1741,2698,384
1862,3273,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Closed,Russia,hackers,1/4/2020,32.00,2/3/2020,30.00,Government Partners,3,passed to another team,C1096,6243,4248,1995,1432,484,30
458,3003,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Open,China,human exploitation,1/6/2020,247.00,1/18/2020,12.00,Discovery,2,investigating,C2278,8308,1684,6624,3206,1472,351
1891,3988,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Mid,Open,Iraq,dangerous actors,1/6/2020,217.00,1/19/2020,13.00,Discovery,3,passed to another team,C2944,6442,3205,3237,257,2719,192
1165,2152,678,NAVY,24458,Lamont,Shields,Lamont Shields,Mid,Closed,Russia,human exploitation,1/6/2020,284.00,1/22/2020,16.00,Leads,1,triage,C2217,8339,4017,4322,3792,370,103
823,3077,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Closed,Iraq,child safety,1/6/2020,153.00,1/12/2020,6.00,Discovery,1,triage,C2849,3640,1400,2240,6,1180,935
186,4621,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,High,Open,China,dangerous actors,1/7/2020,438.00,1/15/2020,8.00,Leads,2,investigating,C2790,7511,4994,2517,926,1432,23
272,4888,345,FBI,16484,Davon,Weber,Davon Weber,Urgent,Open,United States,human exploitation,1/7/2020,113.00,1/13/2020,6.00,News,2,investigating,C2550,529,507,22,17,5,0
